age,gender,income,education_level,purchase_frequency,avg_order_value,days_since_last_purchase,email_open_rate,loyalty_points,support_tickets
35,Non-binary,49641.15,High School,3,230.57,65,0.306,1193.0,2
33,Female,41492.0,High School,5,132.53,21,0.847,3703.0,3
38,Female,55033.83,High School,2,175.79,99,0.261,3782.0,2
47,Female,91300.09,Bachelor,7,500.0,3,0.898,13746.0,0
32,Male,67765.12,Some College,0,44.49,66,0.5,1108.0,1
41,Female,59495.41,Bachelor,1,107.54,135,0.061,4955.0,2
36,Female,104421.61,Bachelor,2,166.24,107,0.519,7874.0,6
43,Female,33094.25,Bachelor,1,241.61,104,0.241,2325.0,4
39,Non-binary,51432.35,Some College,4,113.32,62,0.035,32.0,0
57,Female,50282.18,Master,5,46.89,29,0.763,1534.0,2
33,Female,42562.73,Bachelor,5,67.35,20,0.515,4648.0,1
33,Male,67954.39,Bachelor,5,132.89,106,0.735,2530.0,1
36,Female,70291.99,Bachelor,9,209.82,1,0.801,14379.0,0
44,Female,82442.73,Doctorate,3,189.3,90,0.391,2227.0,7
29,Female,65114.7,Master,8,106.24,25,0.621,1132.0,0
22,Female,54192.68,Master,5,52.78,25,0.783,1262.0,2
51,Female,60904.66,Master,5,388.58,6,0.486,10258.0,0
43,Male,28479.42,High School,3,16.59,47,0.399,763.0,1
65,Female,67290.45,Bachelor,3,121.96,139,0.294,2936.0,5
40,Male,82724.61,Bachelor,8,500.0,4,0.878,6780.0,0
39,Female,48505.06,Some College,1,254.66,89,0.378,3793.0,3
52,Male,67625.43,Some College,6,100.7,13,0.778,1659.0,1
37,Male,87489.64,Doctorate,1,170.45,70,0.116,14519.0,4
21,Female,46478.57,Bachelor,1,186.97,120,0.136,4712.0,5
35,Female,51547.93,Bachelor,1,167.5,121,0.249,4201.0,2
44,Male,30092.04,Some College,1,65.15,113,0.107,466.0,0
62,Female,80118.15,Some College,2,71.67,12,0.435,2830.0,1
43,Male,54850.4,High School,2,5.0,90,0.102,477.0,3
41,Male,54679.52,Bachelor,0,51.18,74,0.02,518.0,2
48,Male,62194.38,Bachelor,6,277.55,6,0.714,4243.0,0
40,Male,121288.36,Bachelor,9,494.63,2,0.854,4545.0,0
36,Female,82843.35,Bachelor,6,152.3,82,0.581,6491.0,8
33,Female,49132.96,Some College,3,66.27,15,0.646,3189.0,0
32,Female,50505.65,Some College,4,89.16,24,0.507,1272.0,0
36,Female,37468.97,Bachelor,3,201.62,22,0.654,3098.0,0
43,Male,39054.47,Master,3,29.79,108,0.1,573.0,1
22,Female,26452.93,High School,0,58.64,49,0.222,1308.0,3
50,Female,69198.91,Bachelor,0,113.64,26,0.762,4666.0,1
49,Female,42757.92,Bachelor,2,132.93,14,0.618,3059.0,2
45,Male,63755.29,Master,8,256.66,8,0.655,15450.0,1
46,Male,49636.04,Bachelor,4,72.79,19,0.774,1329.0,0
27,Male,78375.2,Master,5,192.79,145,0.442,5344.0,1
38,Male,67602.0,Doctorate,12,247.58,13,0.733,6243.0,0
49,Female,38675.04,Some College,8,31.08,9,0.577,953.0,0
35,Male,89586.62,Master,0,268.66,107,0.312,6863.0,1
44,Female,63012.41,Some College,5,75.86,109,0.245,2454.0,3
36,Female,57563.27,Bachelor,6,88.96,32,0.815,5983.0,1
33,Male,68360.33,Bachelor,5,82.79,8,0.504,1808.0,3
73,Female,81921.02,Master,10,208.37,12,0.637,11369.0,2
31,Male,36557.69,Some College,1,21.68,50,0.161,57.0,0
51,Non-binary,47750.5,Some College,1,36.37,71,0.099,198.0,1
47,Male,30225.91,High School,1,28.72,84,0.221,480.0,2
24,Female,36564.66,Bachelor,1,125.8,117,0.125,9425.0,0
49,Male,72754.57,Master,15,436.99,11,0.446,7800.0,0
46,Male,67590.74,Bachelor,6,269.99,1,0.884,15978.0,3
26,Female,66693.36,Some College,4,180.31,111,0.221,6466.0,0
24,Male,62766.28,Some College,5,97.24,22,0.693,6891.0,3
42,Male,93061.42,Master,16,157.95,12,0.581,11770.0,1
32,Male,57684.72,Some College,2,86.91,74,0.262,245.0,3
38,Female,35559.68,Some College,1,16.07,66,0.257,653.0,2
43,Female,97493.39,Doctorate,12,500.0,7,0.937,3502.0,0
39,Male,57799.21,High School,2,118.05,23,0.401,1041.0,0
52,Male,86915.35,Bachelor,8,372.67,5,0.524,8630.0,1
52,Non-binary,97762.58,Doctorate,1,500.0,71,0.115,7950.0,0
30,Male,101010.32,Master,5,109.78,13,,6020.0,1
63,Female,73879.32,Bachelor,20,491.69,9,0.785,10197.0,0
62,Male,59902.52,Some College,8,117.81,4,0.975,16495.0,0
33,Male,52696.71,Bachelor,10,105.59,14,0.599,2165.0,1
25,Male,28019.15,Bachelor,0,43.85,106,0.337,819.0,0
32,Non-binary,40498.04,Some College,1,141.68,11,0.514,2255.0,0
40,Female,40083.93,Bachelor,1,49.43,92,0.277,232.0,0
33,Male,31941.07,Some College,5,213.06,28,0.455,1741.0,2
43,Female,33322.3,Bachelor,2,236.02,99,0.291,3177.0,0
47,Male,69935.74,High School,6,61.77,23,0.371,1765.0,2
32,Female,20315.53,Some College,2,23.18,81,0.593,539.0,0
44,Male,47317.57,Master,9,206.63,21,0.651,2756.0,0
30,Female,93916.85,Some College,5,92.15,29,0.391,344.0,1
38,Female,83286.64,Master,7,336.44,8,0.643,4821.0,0
48,Male,82770.64,Bachelor,6,165.61,9,0.639,12806.0,0
29,Non-binary,50307.95,Some College,1,86.25,145,0.026,2836.0,1
31,Non-binary,69505.9,High School,8,148.99,11,0.749,9060.0,0
48,Female,51715.04,Bachelor,3,70.12,11,0.57,2720.0,2
40,Male,51984.34,Doctorate,1,248.85,107,0.42,2688.0,2
44,Female,18015.99,High School,3,71.88,73,0.322,155.0,0
24,Male,21008.94,High School,1,89.42,111,0.216,623.0,1
26,Female,29210.9,High School,1,67.28,58,0.293,778.0,0
43,Male,63391.63,Master,10,331.81,13,0.889,11614.0,0
43,Female,57028.57,Some College,9,151.58,26,0.287,1519.0,1
34,Female,21912.09,Master,2,18.67,48,0.317,760.0,0
42,Non-binary,88475.39,Master,4,210.19,5,0.898,7624.0,0
32,Female,34334.21,Some College,4,21.71,70,0.387,458.0,1
52,Female,120672.86,High School,7,257.58,8,0.57,10810.0,0
57,Female,51966.44,Bachelor,2,148.52,13,0.819,1571.0,2
